__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_01_incision_013.280-016.900.mp4 4
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_02_incision_019.369-023.540.mp4 4
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_03_viscoelastic_024.892-028.495.mp4 10
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_04_capsulorhexis_035.469-065.883.mp4 2
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_05_hydrodissection_067.718-077.895.mp4 3
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_06_phacoemulsification_083.250-130.130.mp4 8
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_07_irrigation-aspiration_139.156-191.508.mp4 5
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_08_capsule_pulishing_193.293-198.332.mp4 1
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_09_viscoelastic_200.267-203.353.mp4 10
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_10_lens_implantation_205.489-216.083.mp4 6
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_11_lens_positioning_217.618-222.656.mp4 7
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_12_viscoelastic_suction_224.341-248.949.mp4 11
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_13_tonifying-antibiotics_251.018-276.743.mp4 9
__DATA_ROOT__/cataract-1k-phase/split_video/case_4687/case_4687_segment_14_tonifying-antibiotics_278.345-282.432.mp4 9
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_01_incision_000.000-002.753.mp4 4
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_02_incision_005.405-010.627.mp4 4
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_03_viscoelastic_013.947-019.253.mp4 10
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_04_capsulorhexis_021.138-051.585.mp4 2
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_05_hydrodissection_053.470-076.643.mp4 3
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_06_phacoemulsification_078.078-161.228.mp4 8
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_07_irrigation-aspiration_170.220-188.872.mp4 5
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_08_viscoelastic_191.942-196.980.mp4 10
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_09_viscoelastic_199.550-205.589.mp4 10
__DATA_ROOT__/cataract-1k-phase/split_video/case_4693/case_4693_segment_10_lens_implantation_208.208-219.486.mp4 6
